fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20,fold_21,fold_22,fold_23,fold_24,fold_25,fold_26,fold_27,fold_28,fold_29,fold_30,fold_31,fold_32,fold_33,fold_34,fold_35,fold_36,fold_37,fold_38,fold_39,fold_40
0.9991,1.0,1.0,0.9981274969666065,0.9993696316090556,1.0,0.9991,0.9991,0.9991,1.0,1.0619335287544112,0.9991,0.9991,1.1310415691016278,1.0680243949708865,0.9142788335714119,0.9559788097539326,0.9991,0.9991,0.9845548870581888,1.0788789920135924,0.9794263377036811,0.9739749780482183,0.9991,0.9991,1.0011800197468697,0.9991,1.0355919490175465,1.0435505267863727,1.0,0.9473595109593413,1.0,0.8806024394119853,0.9931652013930823,1.0,1.0,0.9940624334579274,1.0,0.9991,1.0,0.9991
0.9991,1.0,1.0,0.9981274969666065,0.9993696316090556,1.0,0.8580091987230467,0.9991,0.9991,1.0,1.0619335287544112,0.9991,0.9991,1.1310415691016278,1.0670631730154128,0.9142788335714119,0.9559788097539326,0.9991,0.9991,0.9845548870581888,1.0788789920135924,0.9794263377036811,0.9739749780482183,0.9991,0.9991,1.0011800197468697,0.9991,1.0355919490175465,1.042611331312265,1.0,0.9473595109593413,1.0,0.8806024394119853,0.9931652013930823,1.0,1.0,0.9940624334579274,1.0,0.9991,1.0,1.0921110980017554
0.9991,1.0,1.0,0.9981274969666065,0.9993696316090556,1.0,0.8580091987230467,0.9991,0.9991,1.0,1.0619335287544112,0.9991,0.9991,1.1310415691016278,1.0670631730154128,0.9142788335714119,0.9559788097539326,0.9991,0.9991,0.9845548870581888,1.0788789920135924,0.9794263377036811,0.9739749780482183,0.9991,0.9991,1.0011800197468697,0.9991,1.0355919490175465,1.042611331312265,1.0,0.9473595109593413,0.9991,0.8806024394119853,0.9931652013930823,1.0,1.0,0.9940624334579274,1.0,0.9991,1.0,1.0921110980017554
0.9991,1.0,1.0,0.9981274969666065,0.9993696316090556,1.0,0.8580091987230467,0.9991,0.9991,1.0,1.0619335287544112,0.9991,0.9991,1.1310415691016278,1.0670631730154128,0.9142788335714119,0.9559788097539326,0.9991,0.9991,0.9845548870581888,1.0788789920135924,0.9794263377036811,0.9739749780482183,0.9991,0.9991,1.0011800197468697,0.9991,1.0355919490175465,1.042611331312265,1.0,0.9473595109593413,0.9991,0.8806024394119853,0.9931652013930823,1.0,1.0,0.9940624334579274,1.0,0.9991,1.0,1.0921110980017554
0.9991,1.0,1.0,0.9972291822193365,0.9993696316090556,1.0,0.8580091987230467,0.9991,0.9991,1.0,1.0619335287544112,0.9991,0.879762156716698,1.1310415691016278,1.0670631730154128,0.9142788335714119,0.9559788097539326,0.9991,0.9991,0.9845548870581888,1.0788789920135924,0.9794263377036811,0.9739749780482183,0.9934223810437206,0.9991,1.0011800197468697,0.9991,1.0355919490175465,1.042611331312265,1.0,0.9473595109593413,0.9991,0.8806024394119853,0.9931652013930823,1.0,1.0,0.9940624334579274,1.0,0.9928148836468275,1.0,1.0921110980017554
0.9962368123379405,1.0,1.0,0.9972291822193365,0.9993696316090556,1.0,0.8580091987230467,0.9991,1.017760517863505,1.0,0.9946914604494428,0.9991,0.879762156716698,1.1546808628905578,1.0670631730154128,0.9142788335714119,0.9559788097539326,0.9991,0.9991,0.9723187776323136,1.1217164610366854,0.9794263377036811,0.9730984005679749,0.9934223810437206,0.9991,1.028652979421768,0.9991,1.0355919490175465,1.042611331312265,0.9991,0.981092875332276,0.9991,0.8750286891081829,0.9931652013930823,1.0,1.0,0.9940624334579274,1.0,0.9928148836468275,1.0,1.0921110980017554
0.9962368123379405,1.0,1.0,0.9972291822193365,0.997415625590897,1.0,0.8580091987230467,0.9668112903715482,1.017760517863505,1.0,0.9946914604494428,0.9991,0.879762156716698,1.1546808628905578,1.0670631730154128,0.9142788335714119,0.9559788097539326,0.9991,0.9991,0.9723187776323136,1.1217164610366854,0.9794263377036811,0.9730984005679749,0.9934223810437206,0.8479652087009869,1.028652979421768,0.9799265554226939,1.0355919490175465,1.042611331312265,0.9991,0.981092875332276,0.9991,0.8750286891081829,0.9931652013930823,1.0,1.0,0.9940624334579274,1.0,0.9928148836468275,1.0,1.0921110980017554
0.9962368123379405,1.0,1.0,0.9972291822193365,0.997415625590897,1.0,0.8580091987230467,0.9668112903715482,1.017760517863505,1.0,0.9946914604494428,0.9991,0.879762156716698,1.1546808628905578,1.0670631730154128,0.8829411944443473,0.9559788097539326,0.9691913224813065,1.0200326507448725,0.9714436907324444,1.1217164610366854,1.0988830722115916,0.9730984005679749,0.9934223810437206,0.8479652087009869,1.028652979421768,0.9799265554226939,1.0355919490175465,1.042611331312265,0.9991,0.981092875332276,0.9991,0.8750286891081829,0.9931652013930823,1.0,1.0,0.9940624334579274,1.0,0.9928148836468275,1.0,1.0921110980017554
0.9962368123379405,1.0,1.0,0.9972291822193365,0.997415625590897,1.0,0.8580091987230467,0.9668112903715482,1.017760517863505,1.0,0.9946914604494428,0.9159092767485022,0.879762156716698,1.1546808628905578,1.0670631730154128,0.8829411944443473,0.9766537921446132,0.9691913224813065,1.0200326507448725,0.9714436907324444,1.1217164610366854,1.0988830722115916,0.9730984005679749,0.9934223810437206,0.8479652087009869,1.028652979421768,0.9799265554226939,1.0355919490175465,1.042611331312265,0.9991,0.981092875332276,0.9991,0.8750286891081829,0.9931652013930823,1.0,1.0,0.9940624334579274,1.0,0.9928148836468275,1.0,1.0921110980017554
0.9962368123379405,1.0,1.0,0.9972291822193365,0.997415625590897,1.0,0.8445336425796593,0.9668112903715482,1.017760517863505,1.0,0.9946914604494428,0.9159092767485022,0.879762156716698,1.1546808628905578,1.051960840578977,0.8829411944443473,0.9766537921446132,0.9691913224813065,1.0200326507448725,0.9714436907324444,1.1217164610366854,1.0988830722115916,0.9730984005679749,0.9934223810437206,0.8479652087009869,1.028652979421768,0.9799265554226939,1.0355919490175465,1.0289720408128205,0.9991,0.981092875332276,0.9991,0.8750286891081829,0.9931652013930823,1.0,1.0,0.9940624334579274,1.0,0.9928148836468275,1.0,1.029405768182431
